image_path,model_name,objects_count,average_confidence,min_confidence,max_confidence,inference_time
data/yolo_cache/d2s_small_seg/images/test/D2S_000804.jpg,YOLO-Seg,5,0.683591103553772,0.49852752685546875,0.8632748126983643,4.238985954998498
data/yolo_cache/d2s_small_seg/images/test/D2S_003310.jpg,YOLO-Seg,5,0.5134229898452759,0.28341206908226013,0.8045833706855774,0.24754370900154754
data/yolo_cache/d2s_small_seg/images/test/D2S_003529.jpg,YOLO-Seg,1,0.8398339152336121,0.8398339152336121,0.8398339152336121,0.22453767899969534
data/yolo_cache/d2s_small_seg/images/test/D2S_004511.jpg,YOLO-Seg,2,0.3613927364349365,0.27336737513542175,0.4494180977344513,0.23402597200038144
data/yolo_cache/d2s_small_seg/images/test/D2S_004809.jpg,YOLO-Seg,5,0.5447030961513519,0.27011606097221375,0.8793556690216064,0.22616750700035482
data/yolo_cache/d2s_small_seg/images/test/D2S_006622.jpg,YOLO-Seg,8,0.7322814986109734,0.27528494596481323,0.9719537496566772,0.34489489600127854
data/yolo_cache/d2s_small_seg/images/test/D2S_007621.jpg,YOLO-Seg,2,0.650360494852066,0.5067971348762512,0.7939238548278809,0.3531968160004908
data/yolo_cache/d2s_small_seg/images/test/D2S_008815.jpg,YOLO-Seg,3,0.4845155676205953,0.2860541343688965,0.6328480243682861,0.291518250000081
data/yolo_cache/d2s_small_seg/images/test/D2S_009306.jpg,YOLO-Seg,2,0.5488182306289673,0.348408579826355,0.7492278814315796,0.21650783600125578
data/yolo_cache/d2s_small_seg/images/test/D2S_009325.jpg,YOLO-Seg,1,0.8101796507835388,0.8101796507835388,0.8101796507835388,0.22633551000035368
data/yolo_cache/d2s_small_seg/images/test/D2S_009423.jpg,YOLO-Seg,3,0.7103230555852255,0.5643188953399658,0.9872831106185913,0.20541517700075929
data/yolo_cache/d2s_small_seg/images/test/D2S_011025.jpg,YOLO-Seg,3,0.5204742352167765,0.32224327325820923,0.6297817230224609,0.2300784230010322
data/yolo_cache/d2s_small_seg/images/test/D2S_011827.jpg,YOLO-Seg,3,0.7521595060825348,0.31669774651527405,0.9861021041870117,0.35505840800033184
data/yolo_cache/d2s_small_seg/images/test/D2S_013101.jpg,YOLO-Seg,4,0.9774947017431259,0.9319684505462646,0.9955869913101196,0.5167057540002133
data/yolo_cache/d2s_small_seg/images/test/D2S_014203.jpg,YOLO-Seg,1,0.994746744632721,0.994746744632721,0.994746744632721,0.49836409599993203
data/yolo_cache/d2s_small_seg/images/test/D2S_014616.jpg,YOLO-Seg,2,0.7002066969871521,0.5924414396286011,0.8079719543457031,0.3319332530008978
data/yolo_cache/d2s_small_seg/images/test/D2S_015027.jpg,YOLO-Seg,1,0.9636950492858887,0.9636950492858887,0.9636950492858887,0.2212655760013149
data/yolo_cache/d2s_small_seg/images/test/D2S_015127.jpg,YOLO-Seg,0,0.0,0.0,0.0,0.22935484799927508
data/yolo_cache/d2s_small_seg/images/test/D2S_015929.jpg,YOLO-Seg,3,0.9888911048571268,0.9753984212875366,0.9963952898979187,0.40972220900039247
data/yolo_cache/d2s_small_seg/images/test/D2S_016206.jpg,YOLO-Seg,4,0.8092814683914185,0.27131712436676025,0.9991840720176697,0.4310379180005839
data/yolo_cache/d2s_small_seg/images/test/D2S_016916.jpg,YOLO-Seg,1,0.9290469884872437,0.9290469884872437,0.9290469884872437,0.31064820000028703
data/yolo_cache/d2s_small_seg/images/test/D2S_017506.jpg,YOLO-Seg,1,0.42044711112976074,0.42044711112976074,0.42044711112976074,0.22879570000077365
data/yolo_cache/d2s_small_seg/images/test/D2S_017516.jpg,YOLO-Seg,2,0.37345296144485474,0.29166093468666077,0.4552449882030487,0.31279121700026735
data/yolo_cache/d2s_small_seg/images/test/D2S_018513.jpg,YOLO-Seg,3,0.6908678313096365,0.3825220763683319,0.9991723299026489,0.2936873069993453
data/yolo_cache/d2s_small_seg/images/test/D2S_020129.jpg,YOLO-Seg,1,0.39771226048469543,0.39771226048469543,0.39771226048469543,0.22481767600038438
data/yolo_cache/d2s_small_seg/images/test/D2S_020509.jpg,YOLO-Seg,1,0.9984399676322937,0.9984399676322937,0.9984399676322937,0.24809969099987939
data/yolo_cache/d2s_small_seg/images/test/D2S_020925.jpg,YOLO-Seg,2,0.8906842172145844,0.8259214162826538,0.9554470181465149,0.23094588099957036
data/yolo_cache/d2s_small_seg/images/test/D2S_021227.jpg,YOLO-Seg,1,0.999319314956665,0.999319314956665,0.999319314956665,0.3083520519994636
data/yolo_cache/d2s_small_seg/images/test/D2S_022807.jpg,YOLO-Seg,1,0.9998477697372437,0.9998477697372437,0.9998477697372437,0.3721311899989814
data/yolo_cache/d2s_small_seg/images/test/D2S_024208.jpg,YOLO-Seg,4,0.9006654322147369,0.7772915959358215,0.9985892176628113,0.3381141169993498
data/yolo_cache/d2s_small_seg/images/test/D2S_026011.jpg,YOLO-Seg,8,0.6861168257892132,0.25075456500053406,0.9944420456886292,0.2287301420001313
data/yolo_cache/d2s_small_seg/images/test/D2S_039714.jpg,YOLO-Seg,4,0.2896121069788933,0.2500776946544647,0.3358422815799713,0.23193487499884213
data/yolo_cache/d2s_small_seg/images/test/D2S_043211.jpg,YOLO-Seg,5,0.5389660954475403,0.2863449156284332,0.97625333070755,0.342363485999158
data/yolo_cache/d2s_small_seg/images/test/D2S_043714.jpg,YOLO-Seg,10,0.5036222368478775,0.32045483589172363,0.7568563222885132,0.3360455000001821
data/yolo_cache/d2s_small_seg/images/test/D2S_050101.jpg,YOLO-Seg,3,0.9845348199208578,0.9660366177558899,0.9976853132247925,0.2615032710000378
data/yolo_cache/d2s_small_seg/images/test/D2S_056604.jpg,YOLO-Seg,4,0.6751813292503357,0.25298643112182617,0.9914006590843201,0.2701162729990756
data/yolo_cache/d2s_small_seg/images/test/D2S_057304.jpg,YOLO-Seg,3,0.8745192289352417,0.7652959823608398,0.999734103679657,0.27947461899930204
data/yolo_cache/d2s_small_seg/images/test/D2S_057309.jpg,YOLO-Seg,2,0.9914623498916626,0.9843953847885132,0.998529314994812,0.30458264499975485
data/yolo_cache/d2s_small_seg/images/test/D2S_058718.jpg,YOLO-Seg,1,0.8195476531982422,0.8195476531982422,0.8195476531982422,0.23687032599991653
data/yolo_cache/d2s_small_seg/images/test/D2S_061919.jpg,YOLO-Seg,3,0.5848240355650584,0.2698638141155243,0.9990977048873901,0.4884231689993612
data/yolo_cache/d2s_small_seg/images/test/D2S_064121.jpg,YOLO-Seg,4,0.49720951169729233,0.32303526997566223,0.8327502608299255,0.3879789940001501
data/yolo_cache/d2s_small_seg/images/test/D2S_065220.jpg,YOLO-Seg,10,0.6820565223693847,0.32619723677635193,0.9910485744476318,0.40159201200003736
data/yolo_cache/d2s_small_seg/images/test/D2S_066810.jpg,YOLO-Seg,8,0.7732031904160976,0.3882521092891693,0.999664306640625,0.23927324899887026
data/yolo_cache/d2s_small_seg/images/test/D2S_066814.jpg,YOLO-Seg,9,0.7663900785975986,0.27073800563812256,0.9997623562812805,0.31105710299925704
data/yolo_cache/d2s_small_seg/images/test/D2S_068111.jpg,YOLO-Seg,11,0.5597876039418307,0.254810094833374,0.9985107779502869,0.23501126900009695
