image_path,image_name,object_id,score,label,class_id,x1,y1,x2,y2,padding_ratio,bbox_area,mask_area,mask_tightness,bbox_crop_purity,bbox_visual_background_ratio,mask_crop_purity_white_bg,mask_crop_visual_background_ratio_white_bg,removed_background_pixels,removed_visual_background_ratio,example_bbox_crop_path,example_mask_crop_path,example_panel_path
data/yolo_cache/d2s_small_seg/images/test/D2S_000804.jpg,D2S_000804.jpg,1,0.8632748126983643,cocoba_cocoa,19,481,605,1132,1288,0.05,444633,179413,0.40350806,0.40350806,0.59649194,1.0,0.0,265220,0.59649194,results/article_segmentation/crop_comparison/examples/D2S_000804_obj_0001_bbox.jpg,results/article_segmentation/crop_comparison/examples/D2S_000804_obj_0001_mask_white_bg.jpg,results/article_segmentation/crop_comparison/examples/D2S_000804_obj_0001_bbox_vs_mask.jpg
data/yolo_cache/d2s_small_seg/images/test/D2S_000804.jpg,D2S_000804.jpg,2,0.8317371606826782,cocoba_cocoa,19,1151,270,1570,960,0.05,289110,187531,0.6486493,0.6486493,0.3513507,1.0,0.0,101579,0.3513507,results/article_segmentation/crop_comparison/examples/D2S_000804_obj_0002_bbox.jpg,results/article_segmentation/crop_comparison/examples/D2S_000804_obj_0002_mask_white_bg.jpg,results/article_segmentation/crop_comparison/examples/D2S_000804_obj_0002_bbox_vs_mask.jpg
data/yolo_cache/d2s_small_seg/images/test/D2S_000804.jpg,D2S_000804.jpg,3,0.645983874797821,gepa_bio_und_fair_rooibostee,49,1149,272,1570,954,0.05,287122,187870,0.65432116,0.65432116,0.34567884,1.0,0.0,99252,0.34567884,results/article_segmentation/crop_comparison/examples/D2S_000804_obj_0003_bbox.jpg,results/article_segmentation/crop_comparison/examples/D2S_000804_obj_0003_mask_white_bg.jpg,results/article_segmentation/crop_comparison/examples/D2S_000804_obj_0003_bbox_vs_mask.jpg
data/yolo_cache/d2s_small_seg/images/test/D2S_000804.jpg,D2S_000804.jpg,4,0.5784321427345276,cocoba_cocoa,19,208,21,934,656,0.05,461010,189073,0.41012776,0.41012776,0.58987224,1.0,0.0,271937,0.58987224,results/article_segmentation/crop_comparison/examples/D2S_000804_obj_0004_bbox.jpg,results/article_segmentation/crop_comparison/examples/D2S_000804_obj_0004_mask_white_bg.jpg,results/article_segmentation/crop_comparison/examples/D2S_000804_obj_0004_bbox_vs_mask.jpg
data/yolo_cache/d2s_small_seg/images/test/D2S_000804.jpg,D2S_000804.jpg,5,0.49852752685546875,gepa_bio_und_fair_pfefferminztee,48,1149,273,1571,955,0.05,287804,187630,0.65193673,0.65193673,0.34806327,1.0,0.0,100174,0.34806327,results/article_segmentation/crop_comparison/examples/D2S_000804_obj_0005_bbox.jpg,results/article_segmentation/crop_comparison/examples/D2S_000804_obj_0005_mask_white_bg.jpg,results/article_segmentation/crop_comparison/examples/D2S_000804_obj_0005_bbox_vs_mask.jpg
data/yolo_cache/d2s_small_seg/images/test/D2S_003310.jpg,D2S_003310.jpg,1,0.8045833706855774,ethiquable_gruener_tee_ceylon,44,666,0,968,434,0.05,131068,105631,0.80592517,0.80592517,0.19407483,1.0,0.0,25437,0.19407483,results/article_segmentation/crop_comparison/examples/D2S_003310_obj_0001_bbox.jpg,results/article_segmentation/crop_comparison/examples/D2S_003310_obj_0001_mask_white_bg.jpg,results/article_segmentation/crop_comparison/examples/D2S_003310_obj_0001_bbox_vs_mask.jpg
data/yolo_cache/d2s_small_seg/images/test/D2S_003310.jpg,D2S_003310.jpg,2,0.7476596236228943,dr_oetker_vitalis_knuspermuesli_klassisch,15,636,0,1466,535,0.05,444050,298894,0.67310888,0.67310888,0.32689112,1.0,0.0,145156,0.32689112,results/article_segmentation/crop_comparison/examples/D2S_003310_obj_0002_bbox.jpg,results/article_segmentation/crop_comparison/examples/D2S_003310_obj_0002_mask_white_bg.jpg,results/article_segmentation/crop_comparison/examples/D2S_003310_obj_0002_bbox_vs_mask.jpg
data/yolo_cache/d2s_small_seg/images/test/D2S_003310.jpg,D2S_003310.jpg,3,0.4399813711643219,ethiquable_gruener_tee_ceylon,44,888,0,1214,488,0.05,159088,122710,0.7713341,0.7713341,0.2286659,1.0,0.0,36378,0.2286659,results/article_segmentation/crop_comparison/examples/D2S_003310_obj_0003_bbox.jpg,results/article_segmentation/crop_comparison/examples/D2S_003310_obj_0003_mask_white_bg.jpg,results/article_segmentation/crop_comparison/examples/D2S_003310_obj_0003_bbox_vs_mask.jpg
data/yolo_cache/d2s_small_seg/images/test/D2S_003310.jpg,D2S_003310.jpg,4,0.2914785146713257,ethiquable_gruener_tee_ceylon,44,1120,12,1433,527,0.05,161195,103531,0.64227178,0.64227178,0.35772822,1.0,0.0,57664,0.35772822,results/article_segmentation/crop_comparison/examples/D2S_003310_obj_0004_bbox.jpg,results/article_segmentation/crop_comparison/examples/D2S_003310_obj_0004_mask_white_bg.jpg,results/article_segmentation/crop_comparison/examples/D2S_003310_obj_0004_bbox_vs_mask.jpg
data/yolo_cache/d2s_small_seg/images/test/D2S_003310.jpg,D2S_003310.jpg,5,0.28341206908226013,gepa_bio_und_fair_pfefferminztee,48,662,0,970,454,0.05,139832,99080,0.70856456,0.70856456,0.29143544,1.0,0.0,40752,0.29143544,results/article_segmentation/crop_comparison/examples/D2S_003310_obj_0005_bbox.jpg,results/article_segmentation/crop_comparison/examples/D2S_003310_obj_0005_mask_white_bg.jpg,results/article_segmentation/crop_comparison/examples/D2S_003310_obj_0005_bbox_vs_mask.jpg
